x-axis,y-axis,z-axis,|time
-0.612915625|,-6.4356140625,-6.89530078125,|0.06626658899995164
-0.612915625|,-6.4356140625,-7.048529687499999,|0.06674023199991552
-0.612915625|,-6.4356140625,-7.048529687499999,|0.06714309400001639
-0.612915625|,-6.4356140625,-7.048529687499999,|0.0675017899999375
-0.612915625|,-6.4356140625,-6.89530078125,|0.06785689200000888
-0.612915625|,-6.4356140625,-6.89530078125,|0.0682630879999806
-0.612915625|,-6.4356140625,-6.89530078125,|0.06867740799998501
-0.612915625|,-6.4356140625,-7.048529687499999,|0.06909037399998397
-0.612915625|,-6.4356140625,-7.048529687499999,|0.06954500699998789
-0.612915625|,-6.4356140625,-7.048529687499999,|0.07009500399999524
-0.612915625|,-6.4356140625,-6.89530078125,|0.07061239699999078
-0.612915625|,-6.4356140625,-6.89530078125,|0.07109952899998007
-0.612915625|,-6.4356140625,-6.89530078125,|0.0716545259999748
-0.612915625|,-6.4356140625,-6.89530078125,|0.0722650430000158
-0.612915625|,-6.4356140625,-6.89530078125,|0.07276212399995075
-0.612915625|,-6.4356140625,-6.89530078125,|0.07318425699997988
-0.612915625|,-6.4356140625,-6.89530078125,|0.07359685799997351
-0.612915625|,-6.4356140625,-6.89530078125,|0.07412659499993879
-0.612915625|,-6.4356140625,-6.89530078125,|0.07468679999999495
-0.612915625|,-6.4356140625,-6.89530078125,|0.07530887899997651
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.0759297609999976
-0.612915625|,-6.4356140625,-7.048529687499999,|0.07665683999994144
-0.612915625|,-6.4356140625,-7.048529687499999,|0.07733360700001413
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.07797365499993703
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.07867474499994387
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.079276355999923
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.07986760299991147
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.08053416099994593
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.0810815539999794
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.08151655099993604
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.08200644399994417
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.08253206599999885
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.08300284500000998
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.08343799799990848
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.08385320399997909
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.08430393099990852
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.08475835499996265
-0.612915625|,-6.4356140625,-7.048529687499999,|0.08532746599996699
-0.612915625|,-6.4356140625,-7.048529687499999,|0.08590126499996131
-0.7661445312499999|,-6.58884296875,-7.048529687499999,|0.08642032499994912
-0.7661445312499999|,-6.58884296875,-7.048529687499999,|0.08684813499996835
-0.7661445312499999|,-6.58884296875,-7.048529687499999,|0.08726042399996459
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.08767630699992424
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.08808807499997329
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.0885304679999308
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.08895286199992825
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.08936785899993538
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.08982962699997188
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.0903845719999481
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.09091305899994495
-0.7661445312499999|,-6.58884296875,-6.89530078125,|0.09139857599996049
-0.7661445312499999|,-6.58884296875,-6.89530078125,|0.09189289599999029
-0.7661445312499999|,-6.58884296875,-6.89530078125,|0.09241023699996731
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.09284867199994551
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.09326299299993934
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.09368293799991534
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.09409428999992997
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.09452272499993342
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.09498246199996174
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.09542907399998057
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.0958954249999806
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.09634464099997331
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.09681317999991279
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.09722197999997206
-0.612915625|,-6.4356140625,-7.048529687499999,|0.09758036300002004
-0.612915625|,-6.4356140625,-7.048529687499999,|0.0979359340000201
-0.612915625|,-6.4356140625,-7.048529687499999,|0.0982883279999669
-0.612915625|,-6.4356140625,-7.048529687499999,|0.09864301300001443
-0.612915625|,-6.4356140625,-7.048529687499999,|0.09899806299995362
-0.612915625|,-6.4356140625,-7.048529687499999,|0.09935295699995095
-0.612915625|,-6.4356140625,-7.048529687499999,|0.0997052980000035
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.10005852599999798
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.1005003459999898
