time,|spark
700|,|52
700|,|52
701|,|54
701|,|53
702|,|52
702|,|52
703|,|52
704|,|52
704|,|53
705|,|52
705|,|52
706|,|53
707|,|50
707|,|52
708|,|52
708|,|52
709|,|52
709|,|52
710|,|52
711|,|52
711|,|52
712|,|52
712|,|52
713|,|52
713|,|52
714|,|50
715|,|52
715|,|52
716|,|52
716|,|53
717|,|52
718|,|52
718|,|53
719|,|52
719|,|52
720|,|53
720|,|53
721|,|53
722|,|52
722|,|52
723|,|51
723|,|52
724|,|52
726|,|53
726|,|53
727|,|52
727|,|52
728|,|52
728|,|52
729|,|54
730|,|52
730|,|52
731|,|52
731|,|52
732|,|52
732|,|52
733|,|52
734|,|52
734|,|52
735|,|53
735|,|52
736|,|52
737|,|53
737|,|52
738|,|53
738|,|53
739|,|53
739|,|53
740|,|52
741|,|53
741|,|52
742|,|52
742|,|53
743|,|52
744|,|52
744|,|52
745|,|52
745|,|52
746|,|52
746|,|52
747|,|52
748|,|52
748|,|52
749|,|52
749|,|52
750|,|52
751|,|52
751|,|51
752|,|52
752|,|52
753|,|53
753|,|53
754|,|52
755|,|53
755|,|52
756|,|52
756|,|52
757|,|52
757|,|52
758|,|52
759|,|51
759|,|52
760|,|51
760|,|52
761|,|52
762|,|54
762|,|52
763|,|52
763|,|51
764|,|51
764|,|51
765|,|52
766|,|52
766|,|52
768|,|52
768|,|49
769|,|52
770|,|52
770|,|52
771|,|52
771|,|52
772|,|52
772|,|52
773|,|52
774|,|52
774|,|52
775|,|52
775|,|52
776|,|52
776|,|52
777|,|51
778|,|51
778|,|52
779|,|51
779|,|52
780|,|52
781|,|51
781|,|52
782|,|52
782|,|52
783|,|52
783|,|52
784|,|50
785|,|52
785|,|53
786|,|52
786|,|52
787|,|52
788|,|52
788|,|52
789|,|52
789|,|52
790|,|53
790|,|51
791|,|53
792|,|52
792|,|52
793|,|52
793|,|52
794|,|52
795|,|55
795|,|52
796|,|52
796|,|52
797|,|52
797|,|52
798|,|53
799|,|52
799|,|53
800|,|55
800|,|51
801|,|53
801|,|53
802|,|53
803|,|54
803|,|54
804|,|53
804|,|54
805|,|53
806|,|55
806|,|54
807|,|54
807|,|55
808|,|55
808|,|54
809|,|55
811|,|54
811|,|54
812|,|55
812|,|54
813|,|54
814|,|54
814|,|54
